time,latitude,longitude,t2m,tp,d2m,rh
2022-01-01 00:00:00,44.076,8.135,7.9862366,0.14565685,6.9083557,92.90543
2022-01-01 01:00:00,44.076,8.135,8.100006,0.017182305,6.591461,90.20602
2022-01-01 02:00:00,44.076,8.135,7.7796936,0.0315316,6.1717834,89.566475
2022-01-01 03:00:00,44.076,8.135,7.5260315,0.045551073,5.879547,89.30797
2022-01-01 04:00:00,44.076,8.135,7.271393,0.060606502,5.659088,89.49899
2022-01-01 05:00:00,44.076,8.135,7.217926,0.07206976,5.4132385,88.30882
2022-01-01 06:00:00,44.076,8.135,7.5326233,0.08366878,5.333893,85.95597
2022-01-01 07:00:00,44.076,8.135,7.3089905,0.08974722,4.8624573,84.46256
2022-01-01 08:00:00,44.076,8.135,7.8439026,0.10893917,5.5243225,85.27126
2022-01-01 09:00:00,44.076,8.135,10.195465,0.14271246,6.9322815,80.186356
2022-01-01 10:00:00,44.076,8.135,11.559723,0.17322865,7.620514,76.76614
2022-01-01 11:00:00,44.076,8.135,12.174713,0.18100597,7.450836,72.867676
2022-01-01 12:00:00,44.076,8.135,12.769928,0.19840865,7.507477,70.34825
2022-01-01 13:00:00,44.076,8.135,12.790192,0.22155079,7.7328186,71.342674
2022-01-01 14:00:00,44.076,8.135,12.310944,0.24254288,8.084137,75.4007
2022-01-01 15:00:00,44.076,8.135,11.756256,0.25996286,8.3558655,79.66045
2022-01-01 16:00:00,44.076,8.135,11.138824,0.2805246,8.376129,83.095
2022-01-01 17:00:00,44.076,8.135,10.010895,0.289164,8.216217,88.611206
2022-01-01 18:00:00,44.076,8.135,9.239166,0.3208909,7.7186584,90.21653
2022-01-01 19:00:00,44.076,8.135,9.040436,0.3286663,7.346344,89.13906
2022-01-01 20:00:00,44.076,8.135,8.835358,0.33348286,6.9549866,87.99251
2022-01-01 21:00:00,44.076,8.135,8.225983,0.3398445,6.3329163,87.86079
2022-01-01 22:00:00,44.076,8.135,7.8919983,0.34474605,5.9945374,87.803734
2022-01-01 23:00:00,44.076,8.135,7.778473,0.35359895,5.875641,87.76077
2022-01-02 00:00:00,44.076,8.135,7.483795,0.36516786,5.782135,88.96436
2022-01-02 01:00:00,44.076,8.135,7.1808167,0.013428212,5.677643,90.17091
2022-01-02 02:00:00,44.076,8.135,6.9806213,0.041698266,5.5663147,90.713135
2022-01-02 03:00:00,44.076,8.135,6.7044983,0.06858898,5.350006,91.07102
2022-01-02 04:00:00,44.076,8.135,6.940094,0.1085816,5.525543,90.7087
2022-01-02 05:00:00,44.076,8.135,7.24942,0.14215185,5.6456604,89.55023
2022-01-02 06:00:00,44.076,8.135,6.8993225,0.17648235,5.370758,89.99109
2022-01-02 07:00:00,44.076,8.135,7.2503967,0.21256231,4.9930725,85.57672
2022-01-02 08:00:00,44.076,8.135,7.5831604,0.24050586,4.9689026,83.51335
2022-01-02 09:00:00,44.076,8.135,8.791168,0.280743,5.572418,80.234024
2022-01-02 10:00:00,44.076,8.135,10.054352,0.309248,5.506012,73.365166
2022-01-02 11:00:00,44.076,8.135,10.632233,0.33787218,5.587555,70.99048
2022-01-02 12:00:00,44.076,8.135,10.959381,0.38193282,5.813141,70.55656
2022-01-02 13:00:00,44.076,8.135,11.101227,0.4280887,6.056549,71.08114
2022-01-02 14:00:00,44.076,8.135,11.064117,0.44581783,6.3036194,72.48091
2022-01-02 15:00:00,44.076,8.135,10.475983,0.4736716,6.590973,76.877014
2022-01-02 16:00:00,44.076,8.135,9.882233,0.49430573,6.6649475,80.39535
2022-01-02 17:00:00,44.076,8.135,9.357819,0.52499145,6.645172,83.16169
2022-01-02 18:00:00,44.076,8.135,8.979889,0.55601543,6.7240295,85.768684
2022-01-02 19:00:00,44.076,8.135,8.835846,0.57597667,6.579254,85.74924
2022-01-02 20:00:00,44.076,8.135,8.603668,0.6039145,6.6251526,87.38059
2022-01-02 21:00:00,44.076,8.135,8.18692,0.6249691,6.6688538,90.153465
2022-01-02 22:00:00,44.076,8.135,7.8924866,0.67363095,6.486969,90.83239
2022-01-02 23:00:00,44.076,8.135,7.9337463,0.71219844,6.6002502,91.28617
2022-01-03 00:00:00,44.076,8.135,7.983795,0.7412413,6.7811584,92.113556
2022-01-03 01:00:00,44.076,8.135,8.142242,0.036697324,6.7643127,91.02202
2022-01-03 02:00:00,44.076,8.135,8.087799,0.055448413,6.7811584,91.46486
2022-01-03 03:00:00,44.076,8.135,8.231354,0.062925555,6.8627014,91.08605
2022-01-03 04:00:00,44.076,8.135,7.972809,0.11825109,6.8087463,92.35708
2022-01-03 05:00:00,44.076,8.135,7.5401917,0.1339512,6.70401,94.43715
2022-01-03 06:00:00,44.076,8.135,7.6586,0.16751972,6.7064514,93.693436
2022-01-03 07:00:00,44.076,8.135,7.6666565,0.19786724,5.9110413,88.64847
2022-01-03 08:00:00,44.076,8.135,7.6097717,0.20707728,6.243805,91.06057
2022-01-03 09:00:00,44.076,8.135,9.240875,0.22777098,6.6161194,83.65134
2022-01-03 10:00:00,44.076,8.135,10.255524,0.26162738,6.8417053,79.37085
2022-01-03 11:00:00,44.076,8.135,10.770416,0.35942137,6.896881,76.98481
2022-01-03 12:00:00,44.076,8.135,11.153229,0.38144878,6.983551,75.50001
2022-01-03 13:00:00,44.076,8.135,11.309235,0.3880197,7.079254,75.21509
2022-01-03 14:00:00,44.076,8.135,11.136383,0.40065056,7.292877,77.20155
2022-01-03 15:00:00,44.076,8.135,10.723297,0.41723087,7.7069397,81.622894
2022-01-03 16:00:00,44.076,8.135,10.141998,0.42422348,7.898102,85.95983
2022-01-03 17:00:00,44.076,8.135,9.45401,0.42680347,7.846344,89.69893
2022-01-03 18:00:00,44.076,8.135,8.920319,0.43186942,7.7132874,92.142265
2022-01-03 19:00:00,44.076,8.135,8.037262,0.44760248,6.9286194,92.7125
